scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint,deadline_slots,size_bucket,compute_bucket,mem_bucket,atomicity,split_bucket,urgency,latency_sensitive,compute_heavy,io_heavy,memory_heavy,routing_hint,task_type,task_subtype,type_reason,multi_flags,final_flag,is_general,is_deadline_hard,is_latency_sensitive,is_compute_intensive,is_data_intensive,cluster_id
heavy,0,0,0,0,0.0,7.2020965,972714700.0,7005585000.0,66.61101,sensor,1,0.80072594,0.80072594,0,0.0,discrete,1,L,S,M,atomic,NA,hard,True,False,True,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'io_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,1,1,0,0.0,5.4799843,1314973000.0,7206031400.0,77.9288,image,1,0.61511254,0.61511254,0,0.0,discrete,1,M,M,L,atomic,NA,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy']",deadline_hard,False,True,False,False,False,1
heavy,0,2,4,0,0.0,8.421977,2500221700.0,21056809000.0,72.966446,text,1,0.32300675,0.32300675,1,0.53970444,continuous,1,L,L,M,splittable,M,hard,True,True,True,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'io_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,3,7,0,0.0,6.3249865,1779581800.0,11255831000.0,56.4929,sensor,1,0.48158702,0.48158702,0,0.0,discrete,1,M,L,M,atomic,NA,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy']",deadline_hard,False,True,False,False,False,1
heavy,0,4,10,0,0.0,11.473269,1087571800.0,12478005000.0,73.389854,sensor,1,0.59456414,0.59456414,0,0.0,discrete,1,L,S,M,atomic,NA,hard,True,False,True,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'io_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,5,13,0,0.0,4.2204247,700709570.0,2957292000.0,42.85349,text,1,0.31167382,0.31167382,1,0.5961382,continuous,1,M,S,S,splittable,M,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'splittable']",deadline_hard,False,True,False,False,False,1
heavy,0,6,17,0,0.0,5.2260256,1656089900.0,8654768000.0,64.974945,sensor,0,,,0,0.0,discrete,,M,M,M,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,1
heavy,0,7,2,1,1.0,2.5106468,1449514100.0,3639218200.0,79.34273,image,0,,,1,0.7923466,continuous,,S,M,L,splittable,L,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,2
heavy,0,8,5,1,1.0,6.057153,2328010800.0,14101118000.0,30.002148,video,1,0.56476355,1.5647635,0,0.0,discrete,1,M,L,S,atomic,NA,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,9,6,1,1.0,2.0366707,2060926600.0,4197429000.0,38.077126,image,1,0.86155075,1.8615507,0,0.0,discrete,1,S,L,S,atomic,NA,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy']",deadline_hard,False,True,False,False,False,0
